(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
0:00:39,1591122660,2020-06-02T18:31:07,0.996,0.65,28.17,28.49,29.55,846.62,846.85,101.349998,26.49,0.9747,556,0,9.372,0.97113,2.88,32834,40.542085,-105.098270,1543.0,7,0.506290,1,13.7,9.0,10.4,-0.004,-0.004,10472,5874,8547,1.309,1,0,0,1,0
0:00:40,1591122661,2020-06-02T18:31:09,1.000,0.67,28.17,28.49,29.57,846.67,846.89,102.333336,26.48,0.9747,556,0,9.371,0.97493,2.88,32834,40.542089,-105.098273,1543.3,7,0.528392,1,13.7,9.0,10.3,0.000,0.000,10492,5874,8546,1.311,1,0,0,1,0
0:00:41,1591122662,2020-06-02T18:31:10,1.006,0.68,28.17,28.50,29.56,846.62,846.91,101.066666,26.48,0.9747,557,0,9.371,0.98104,2.88,32834,40.542090,-105.098273,1543.6,7,0.476992,1,13.7,9.0,10.3,0.006,0.006,10524,5874,8546,1.316,1,0,0,1,0
0:00:42,1591122663,2020-06-02T18:31:12,0.995,0.70,28.19,28.51,29.54,846.56,846.82,103.433334,26.40,0.9746,556,0,9.363,0.96942,2.88,32834,40.542090,-105.098270,1544.0,7,0.336156,1,13.6,8.9,10.3,-0.005,-0.005,10463,5874,8539,1.308,1,0,0,1,0
0:00:43,1591122664,2020-06-02T18:31:13,0.999,0.72,28.19,28.51,29.57,846.64,846.89,101.150002,26.40,0.9746,556,0,9.370,0.97341,2.88,32834,40.542088,-105.098267,1544.1,7,0.436900,1,13.6,8.9,10.3,-0.001,-0.001,10484,5874,8545,1.311,1,0,0,1,0
0:00:44,1591122665,2020-06-02T18:31:14,1.003,0.73,28.20,28.52,29.58,846.59,846.88,104.000000,26.38,0.9746,556,0,9.371,0.97741,2.88,32834,40.542082,-105.098260,1544.2,7,0.362370,1,13.6,8.9,10.3,0.003,0.003,10505,5874,8546,1.313,1,0,0,1,0
0:00:45,1591122666,2020-06-02T18:31:15,0.998,0.75,28.20,28.53,29.57,846.61,846.93,101.716667,26.39,0.9747,556,0,9.372,0.97265,2.88,32834,40.542080,-105.098254,1544.4,7,0.203544,1,13.6,8.9,10.3,-0.002,-0.002,10480,5874,8547,1.310,1,0,0,1,0
0:00:46,1591122667,2020-06-02T18:31:16,0.996,0.77,28.21,28.53,29.58,846.64,846.77,102.199997,26.36,0.9744,556,0,9.370,0.97094,2.88,32834,40.542075,-105.098244,1544.6,7,0.124388,1,13.6,8.9,10.3,-0.004,-0.004,10471,5874,8545,1.309,1,0,0,1,0
0:00:47,1591122668,2020-06-02T18:31:18,1.005,0.78,28.21,28.54,29.60,846.64,846.89,102.949997,26.36,0.9746,557,0,9.372,0.97990,2.88,32834,40.542083,-105.098244,1545.0,7,0.027242,1,13.5,8.9,10.2,0.005,0.005,10518,5874,8547,1.315,1,0,0,1,0
0:00:48,1591122669,2020-06-02T18:31:19,0.999,0.80,28.21,28.55,29.57,846.58,846.85,101.199997,26.34,0.9745,557,0,9.363,0.97322,2.88,32834,40.542071,-105.098226,1545.3,7,0.432274,1,13.5,8.9,10.2,-0.001,-0.001,10483,5874,8539,1.310,1,0,0,1,0
0:00:49,1591122670,2020-06-02T18:31:20,0.999,0.82,28.22,28.53,29.60,846.64,846.90,103.449997,26.31,0.9746,557,0,9.363,0.97341,2.88,32834,40.542069,-105.098222,1545.3,7,0.344380,1,13.5,8.8,10.2,-0.001,-0.001,10484,5874,8539,1.311,1,0,0,1,0
